Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Food 4 Less,OPERATIONAL,"112 West 87th Street, Chicago",1,3.9,931,['grocery_or_supermarket'],41.7377282,-87.6284471
Jewel-Osco,OPERATIONAL,"87 West 87th Street, Chicago",2,4,2306,"['grocery_or_supermarket', 'supermarket']",41.7351366,-87.6278804
Jewel-Osco Pharmacy,OPERATIONAL,"87 West 87th Street, Chicago",2,4.1,16,['drugstore'],41.7352493,-87.62778709999999
Walgreens,OPERATIONAL,"8628 South Cottage Grove Avenue, Chicago",2,2.5,157,"['drugstore', 'convenience_store']",41.737942,-87.6055169
Walgreens,OPERATIONAL,"1616 East 87th Street, Chicago",2,2.8,77,"['drugstore', 'convenience_store']",41.7371715,-87.5841665
Pete's Produce,OPERATIONAL,"1543 East 87th Street, Chicago",Price information not available,4.1,2315,"['supermarket', 'grocery_or_supermarket']",41.7367317,-87.5865761
bp,OPERATIONAL,"8648 South Jeffery Boulevard, Chicago",Price information not available,3.5,11,"['supermarket', 'grocery_or_supermarket']",41.73733499999999,-87.5760741
WIC Grocery,OPERATIONAL,"8959 South Commercial Avenue, Chicago",Price information not available,4.5,97,['grocery_or_supermarket'],41.7321632,-87.5511631
Seattle Sutton's Healthy Eating of Burr Ridge,OPERATIONAL,"7962 South Madison Street suite c, Burr Ridge",Price information not available,5,1,['grocery_or_supermarket'],41.74410200000001,-87.9351059
Brookhaven Market,OPERATIONAL,"100 Burr Ridge Parkway, Burr Ridge",Price information not available,4.4,463,"['grocery_or_supermarket', 'supermarket']",41.7496686,-87.9129449
Citgo Gas Station,OPERATIONAL,"8801 West 79th Street, Justice",Price information not available,3.7,68,['convenience_store'],41.7468516,-87.839094
bp,OPERATIONAL,"7960 West 79th Street, Bridgeview",Price information not available,4.2,12,['convenience_store'],41.7478561,-87.818636
Walgreens,OPERATIONAL,"7878 South Harlem Avenue, Bridgeview",2,3.1,75,"['drugstore', 'convenience_store']",41.7485012,-87.8004528
ALDI,OPERATIONAL,"7802 South Harlem Avenue, Bridgeview",1,4.5,927,"['supermarket', 'grocery_or_supermarket']",41.749464,-87.801283
Dollar General,OPERATIONAL,"7100 West 79th Street, Burbank",1,4,321,"['drugstore', 'grocery_or_supermarket', 'convenience_store']",41.7484563,-87.7972521
R & B Cardinal,OPERATIONAL,"7756 South Harlem Avenue, Bridgeview",Price information not available,4.1,102,['grocery_or_supermarket'],41.7502287,-87.8002782
ATM (Petromart),OPERATIONAL,"5149 West 79th Street, Burbank",Price information not available,No rating,No ratings,['convenience_store'],41.748606,-87.7506949
Walgreens,OPERATIONAL,"5555 West 79th Street, Burbank",2,2.4,70,"['drugstore', 'convenience_store']",41.7483247,-87.7600934
