Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
St Alexander Catholic School,OPERATIONAL,"7025 West 126th Street, Palos Heights",Price information not available,4,4,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6633964,-87.79485419999999
Jan Karski Polish School,OPERATIONAL,"7025 West 126th Street, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6622756,-87.7947678
PACK LEADER ACADEMY,OPERATIONAL,United States,Price information not available,No rating,No ratings,"['school', 'point_of_interest', 'establishment']",41.6668675,-87.7968436
Navajo Heights Elementary School,OPERATIONAL,"12401 South Oak Park Avenue, Palos Heights",Price information not available,4.5,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6665995,-87.78676519999999
Palos Heights Piano,OPERATIONAL,"6425 West 126th Place #1759, Palos Heights",Price information not available,5,3,"['school', 'store', 'point_of_interest', 'establishment']",41.6620155,-87.7786526
Westgate Music School,OPERATIONAL,"6527 West 127th Street, Palos Heights",Price information not available,5,32,"['school', 'store', 'point_of_interest', 'establishment']",41.6603887,-87.78064169999999
Alumni hall,OPERATIONAL,"12405 South Cheyenne Drive, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6661229,-87.7843224
West Hall,OPERATIONAL,"12323-12425 South Cheyenne Drive, Palos Heights",Price information not available,5,2,"['school', 'point_of_interest', 'establishment']",41.66725750000001,-87.7845252
Semester in Spain,OPERATIONAL,"6601 W West College Drive, Palos Heights",Price information not available,No rating,No ratings,"['school', 'point_of_interest', 'establishment']",41.6680459,-87.7843371
Independence Junior High School,OPERATIONAL,"6610 West Highland Drive, Palos Heights",Price information not available,3.9,7,"['school', 'point_of_interest', 'establishment']",41.65838859999999,-87.7828955
Navajo Heights Elementary School,OPERATIONAL,"12401 South Oak Park Avenue, Palos Heights",Price information not available,4.5,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6665995,-87.78676519999999
